hi
2013-02-08 20:34:53,256 INFO:	css requested
2013-02-08 20:34:53,423 INFO:	request for non-existant page: favicon.ico
2013-02-08 20:38:02,196 INFO:	 processed
2013-02-08 20:38:02,273 INFO:	css requested
2013-02-08 20:38:02,433 INFO:	request for non-existant page: favicon.ico
2013-02-08 20:38:04,792 INFO:	Out processed
2013-02-08 20:38:04,862 INFO:	css requested
2013-02-08 20:38:05,019 INFO:	request for non-existant page: favicon.ico
2013-02-08 20:38:05,799 INFO:	Draw processed
2013-02-08 20:38:05,935 INFO:	css requested
2013-02-08 20:38:06,104 INFO:	request for non-existant page: favicon.ico
2013-02-08 20:38:46,087 INFO:	New processed
2013-02-08 20:38:46,152 INFO:	css requested
2013-02-08 20:38:46,366 INFO:	request for non-existant page: favicon.ico
2013-02-08 20:38:47,321 INFO:	Out processed
2013-02-08 20:38:47,355 INFO:	css requested
2013-02-08 20:38:47,503 INFO:	request for non-existant page: favicon.ico
2013-02-08 20:38:49,321 INFO:	Phase processed
2013-02-08 20:38:49,360 INFO:	css requested
2013-02-08 20:38:49,527 INFO:	request for non-existant page: favicon.ico
2013-02-08 20:38:50,801 INFO:	Phase processed
2013-02-08 20:38:50,837 INFO:	css requested
2013-02-08 20:38:50,939 INFO:	request for non-existant page: favicon.ico
2013-02-08 20:39:00,066 INFO:	Turn processed
2013-02-08 20:39:00,150 INFO:	css requested
2013-02-08 20:39:00,274 INFO:	request for non-existant page: favicon.ico
2013-02-08 20:39:02,410 INFO:	Setup processed
2013-02-08 20:39:02,472 INFO:	css requested
2013-02-08 20:39:02,594 INFO:	request for non-existant page: favicon.ico
2013-02-08 20:39:03,682 INFO:	Draw processed
2013-02-08 20:39:03,759 INFO:	css requested
2013-02-08 20:39:04,014 INFO:	request for non-existant page: favicon.ico
2013-02-08 20:39:05,558 INFO:	Out processed
2013-02-08 20:39:05,620 INFO:	css requested
2013-02-08 20:39:05,782 INFO:	request for non-existant page: favicon.ico
2013-02-08 21:17:31,812 INFO:	Out processed
2013-02-08 21:17:32,031 INFO:	request for non-existant page: favicon.ico
2013-02-08 21:18:21,862 INFO:	 processed
2013-02-08 21:18:22,204 INFO:	request for non-existant page: favicon.ico
2013-02-08 21:18:23,819 INFO:	Draw processed
2013-02-08 21:18:24,034 INFO:	request for non-existant page: favicon.ico
2013-02-08 21:18:25,788 INFO:	Out processed
2013-02-08 21:18:25,974 INFO:	request for non-existant page: favicon.ico
2013-02-08 21:23:32,638 INFO:	Out processed
2013-02-08 21:23:33,248 INFO:	request for non-existant page: favicon.ico
2013-02-08 21:33:03,181 INFO:	Out processed
2013-02-08 21:33:03,413 INFO:	css requested
2013-02-08 21:42:02,631 INFO:	request for non-existant page: asdf
2013-02-08 21:42:02,661 INFO:	css requested
2013-02-08 21:42:02,689 INFO:	request for non-existant page: quinten/images/back.png
2013-02-08 21:42:02,777 INFO:	request for non-existant page: favicon.ico
2013-02-08 21:42:06,143 INFO:	 processed
2013-02-08 21:42:06,209 INFO:	css requested
2013-02-08 21:42:06,255 INFO:	request for non-existant page: quinten/images/back.png
2013-02-08 21:42:06,384 INFO:	request for non-existant page: favicon.ico
2013-02-08 21:42:07,511 INFO:	Out processed
2013-02-08 21:42:07,540 INFO:	css requested
2013-02-08 21:42:07,570 INFO:	request for non-existant page: quinten/images/back.png
2013-02-08 21:42:07,655 INFO:	request for non-existant page: favicon.ico
2013-02-08 21:42:13,182 INFO:	request for non-existant page: css
2013-02-08 21:42:13,215 INFO:	css requested
2013-02-08 21:42:13,247 INFO:	request for non-existant page: quinten/images/back.png
2013-02-08 21:42:13,302 INFO:	request for non-existant page: favicon.ico
2013-02-08 21:42:19,309 INFO:	css requested
2013-02-08 21:42:19,418 INFO:	request for non-existant page: favicon.ico
2013-02-08 21:42:27,758 INFO:	request for non-existant page: favicon.ico
2013-02-08 21:43:00,092 INFO:	request for non-existant page: css
2013-02-08 21:43:00,223 INFO:	request for non-existant page: favicon.ico
2013-02-08 21:43:17,078 INFO:	request for non-existant page: css
2013-02-08 21:43:17,141 INFO:	css requested
2013-02-08 21:43:17,214 INFO:	request for non-existant page: quinten/images/back.png
2013-02-08 21:43:17,306 INFO:	request for non-existant page: favicon.ico
2013-02-08 21:43:22,594 INFO:	css requested
2013-02-08 21:43:22,728 INFO:	request for non-existant page: favicon.ico
2013-02-08 21:43:26,010 INFO:	request for non-existant page: favicon.ico
2013-02-08 22:05:26,906 INFO:	 processed
2013-02-08 22:05:26,971 INFO:	css requested
2013-02-08 22:05:27,029 INFO:	request for non-existant page: quinten/images/back.png
2013-02-08 22:05:27,170 INFO:	request for non-existant page: favicon.ico
2013-02-08 22:05:29,196 INFO:	New processed
2013-02-08 22:05:29,222 INFO:	css requested
2013-02-08 22:05:29,267 INFO:	request for non-existant page: quinten/images/back.png
